Kode,Nama,Kota
34.03.11,RONGKOP,KAB. GUNUNGKIDUL
34.03.12,SEMIN,KAB. GUNUNGKIDUL
34.03.13,NGAWEN,KAB. GUNUNGKIDUL
34.03.14,GEDANGSARI,KAB. GUNUNGKIDUL
34.03.15,SAPTOSARI,KAB. GUNUNGKIDUL
34.03.16,GIRISUBO,KAB. GUNUNGKIDUL
34.03.17,TANJUNGSARI,KAB. GUNUNGKIDUL
34.03.18,PURWOSARI,KAB. GUNUNGKIDUL
34.04.01,GAMPING,KAB. SLEMAN
34.04.02,GODEAN,KAB. SLEMAN
34.04.03,MOYUDAN,KAB. SLEMAN
34.04.04,MINGGIR,KAB. SLEMAN
34.04.05,SEYEGAN,KAB. SLEMAN
34.04.06,MLATI,KAB. SLEMAN
34.04.07,DEPOK,KAB. SLEMAN
34.04.08,BERBAH,KAB. SLEMAN
34.04.09,PRAMBANAN,KAB. SLEMAN
34.04.10,KALASAN,KAB. SLEMAN
34.04.11,NGEMPLAK,KAB. SLEMAN
34.04.12,NGAGLIK,KAB. SLEMAN
34.04.13,SLEMAN,KAB. SLEMAN
34.04.14,TEMPEL,KAB. SLEMAN
34.04.15,TURI,KAB. SLEMAN
34.04.16,PAKEM,KAB. SLEMAN
34.04.17,CANGKRINGAN,KAB. SLEMAN
34.71.01,TEGALREJO,KOTA YOGYAKARTA
34.71.02,JETIS,KOTA YOGYAKARTA
34.71.03,GONDOKUSUMAN,KOTA YOGYAKARTA
34.71.04,DANUREJAN,KOTA YOGYAKARTA
34.71.05,GEDONGTENGEN,KOTA YOGYAKARTA
34.71.06,NGAMPILAN,KOTA YOGYAKARTA
34.71.07,WIROBRAJAN,KOTA YOGYAKARTA
34.71.08,MANTRIJERON,KOTA YOGYAKARTA
34.71.09,KRATON,KOTA YOGYAKARTA
34.71.10,GONDOMANAN,KOTA YOGYAKARTA
34.71.11,PAKUALAMAN,KOTA YOGYAKARTA
34.71.12,MERGANGSAN,KOTA YOGYAKARTA
34.71.13,UMBULHARJO,KOTA YOGYAKARTA
34.71.14,KOTAGEDE,KOTA YOGYAKARTA
35.01.01,DONOROJO,KAB. PACITAN
35.01.02,PRINGKUKU,KAB. PACITAN
35.01.03,PUNUNG,KAB. PACITAN
35.01.04,PACITAN,KAB. PACITAN
35.01.05,KEBONAGUNG,KAB. PACITAN
35.01.06,ARJOSARI,KAB. PACITAN
35.01.07,NAWANGAN,KAB. PACITAN
35.01.08,BANDAR,KAB. PACITAN
35.01.09,TEGALOMBO,KAB. PACITAN
35.01.10,TULAKAN,KAB. PACITAN
35.01.11,NGADIROJO,KAB. PACITAN
35.01.12,SUDIMORO,KAB. PACITAN
35.02.01,SLAHUNG,KAB. PONOROGO
35.02.02,NGRAYUN,KAB. PONOROGO
35.02.03,BUNGKAL,KAB. PONOROGO
35.02.04,SAMBIT,KAB. PONOROGO
35.02.05,SAWOO,KAB. PONOROGO
35.02.06,SOOKO,KAB. PONOROGO
35.02.07,PULUNG,KAB. PONOROGO
35.02.08,MLARAK,KAB. PONOROGO
35.02.09,JETIS,KAB. PONOROGO
35.02.10,SIMAN,KAB. PONOROGO
35.02.11,BALONG,KAB. PONOROGO
35.02.12,KAUMAN,KAB. PONOROGO
35.02.13,BADEGAN,KAB. PONOROGO
35.02.14,SAMPUNG,KAB. PONOROGO
35.02.15,SUKOREJO,KAB. PONOROGO
35.02.16,BABADAN,KAB. PONOROGO
35.02.17,PONOROGO,KAB. PONOROGO
35.02.18,JENANGAN,KAB. PONOROGO
35.02.19,NGEBEL,KAB. PONOROGO
35.02.20,JAMBON,KAB. PONOROGO
35.02.21,PUDAK,KAB. PONOROGO
35.03.01,PANGGUL,KAB. TRENGGALEK
35.03.02,MUNJUNGAN,KAB. TRENGGALEK
35.03.03,PULE,KAB. TRENGGALEK
35.03.04,DONGKO,KAB. TRENGGALEK
35.03.05,TUGU,KAB. TRENGGALEK
35.03.06,KARANGAN,KAB. TRENGGALEK
35.03.07,KAMPAK,KAB. TRENGGALEK
35.03.08,WATULIMO,KAB. TRENGGALEK
35.03.09,BENDUNGAN,KAB. TRENGGALEK
35.03.10,GANDUSARI,KAB. TRENGGALEK
35.03.11,TRENGGALEK,KAB. TRENGGALEK
35.03.12,POGALAN,KAB. TRENGGALEK
35.03.13,DURENAN,KAB. TRENGGALEK
35.03.14,SURUH,KAB. TRENGGALEK
35.04.01,TULUNGAGUNG,KAB. TULUNGAGUNG
35.04.02,BOYOLANGU,KAB. TULUNGAGUNG
35.04.03,KEDUNGWARU,KAB. TULUNGAGUNG
35.04.04,NGANTRU,KAB. TULUNGAGUNG
35.04.05,KAUMAN,KAB. TULUNGAGUNG
35.04.06,PAGERWOJO,KAB. TULUNGAGUNG
35.04.07,SENDANG,KAB. TULUNGAGUNG
35.04.08,KARANGREJO,KAB. TULUNGAGUNG
35.04.09,GONDANG,KAB. TULUNGAGUNG
35.04.10,SUMBERGEMPOL,KAB. TULUNGAGUNG
35.04.11,NGUNUT,KAB. TULUNGAGUNG
35.04.12,PUCANGLABAN,KAB. TULUNGAGUNG
35.04.13,REJOTANGAN,KAB. TULUNGAGUNG
35.04.14,KALIDAWIR,KAB. TULUNGAGUNG
35.04.15,BESUKI,KAB. TULUNGAGUNG
35.04.16,CAMPURDARAT,KAB. TULUNGAGUNG
35.04.17,BANDUNG,KAB. TULUNGAGUNG
35.04.18,PAKEL,KAB. TULUNGAGUNG
35.04.19,TANGGUNGGUNUNG,KAB. TULUNGAGUNG
35.05.01,WONODADI,KAB. BLITAR
35.05.02,UDANAWU,KAB. BLITAR
35.05.03,SRENGAT,KAB. BLITAR
35.05.04,KADEMANGAN,KAB. BLITAR
35.05.05,BAKUNG,KAB. BLITAR
35.05.06,PONGGOK,KAB. BLITAR
35.05.07,SANANKULON,KAB. BLITAR
35.05.08,WONOTIRTO,KAB. BLITAR
35.05.09,NGLEGOK,KAB. BLITAR
35.05.10,KANIGORO,KAB. BLITAR
35.05.11,GARUM,KAB. BLITAR
35.05.12,SUTOJAYAN,KAB. BLITAR
35.05.13,PANGGUNGREJO,KAB. BLITAR
35.05.14,TALUN,KAB. BLITAR
35.05.15,GANDUSARI,KAB. BLITAR
35.05.16,BINANGUN,KAB. BLITAR
35.05.17,WLINGI,KAB. BLITAR
35.05.18,DOKO,KAB. BLITAR
35.05.19,KESAMBEN,KAB. BLITAR
35.05.20,WATES,KAB. BLITAR
35.05.21,SELOREJO,KAB. BLITAR
35.05.22,SELOPURO,KAB. BLITAR
35.06.01,SEMEN,KAB. KEDIRI
35.06.02,MOJO,KAB. KEDIRI
35.06.03,KRAS,KAB. KEDIRI
35.06.04,NGADILUWIH,KAB. KEDIRI
35.06.05,KANDAT,KAB. KEDIRI
35.06.06,WATES,KAB. KEDIRI
35.06.07,NGANCAR,KAB. KEDIRI
35.06.08,PUNCU,KAB. KEDIRI
35.06.09,PLOSOKLATEN,KAB. KEDIRI
35.06.10,GURAH,KAB. KEDIRI
35.06.11,PAGU,KAB. KEDIRI
35.06.12,GAMPENGREJO,KAB. KEDIRI
35.06.13,GROGOL,KAB. KEDIRI
35.06.14,PAPAR,KAB. KEDIRI
35.06.15,PURWOASRI,KAB. KEDIRI
35.06.16,PLEMAHAN,KAB. KEDIRI
35.06.17,PARE,KAB. KEDIRI
35.06.18,KEPUNG,KAB. KEDIRI
35.06.19,KANDANGAN,KAB. KEDIRI
35.06.20,TAROKAN,KAB. KEDIRI
35.06.21,KUNJANG,KAB. KEDIRI
35.06.22,BANYAKAN,KAB. KEDIRI
35.06.23,RINGINREJO,KAB. KEDIRI
35.06.24,KAYEN KIDUL,KAB. KEDIRI
35.06.25,NGASEM,KAB. KEDIRI
35.06.26,BADAS,KAB. KEDIRI
35.07.01,DONOMULYO,KAB. MALANG
35.07.02,PAGAK,KAB. MALANG
35.07.03,BANTUR,KAB. MALANG
35.07.04,SUMBERMANJING WETAN,KAB. MALANG
35.07.05,DAMPIT,KAB. MALANG
35.07.06,AMPELGADING,KAB. MALANG
35.07.07,PONCOKUSUMO,KAB. MALANG
35.07.08,WAJAK,KAB. MALANG
35.07.09,TUREN,KAB. MALANG
35.07.10,GONDANGLEGI,KAB. MALANG
35.07.11,KALIPARE,KAB. MALANG
35.07.12,SUMBERPUCUNG,KAB. MALANG
35.07.13,KEPANJEN,KAB. MALANG
35.07.14,BULULAWANG,KAB. MALANG
35.07.15,TAJINAN,KAB. MALANG
35.07.16,TUMPANG,KAB. MALANG
35.07.17,JABUNG,KAB. MALANG
35.07.18,PAKIS,KAB. MALANG
35.07.19,PAKISAJI,KAB. MALANG
35.07.20,NGAJUM,KAB. MALANG
35.07.21,WAGIR,KAB. MALANG
35.07.22,DAU,KAB. MALANG
35.07.23,KARANG PLOSO,KAB. MALANG
35.07.24,SINGOSARI,KAB. MALANG
35.07.25,LAWANG,KAB. MALANG
35.07.26,PUJON,KAB. MALANG
35.07.27,NGANTANG,KAB. MALANG
35.07.28,KASEMBON,KAB. MALANG
35.07.29,GEDANGAN,KAB. MALANG
35.07.30,TIRTOYUDO,KAB. MALANG
35.07.31,KROMENGAN,KAB. MALANG
35.07.32,WONOSARI,KAB. MALANG
35.07.33,PAGELARAN,KAB. MALANG
35.08.01,TEMPURSARI,KAB. LUMAJANG
35.08.02,PRONOJIWO,KAB. LUMAJANG
35.08.03,CANDIPURO,KAB. LUMAJANG
35.08.04,PASIRIAN,KAB. LUMAJANG
35.08.05,TEMPEH,KAB. LUMAJANG
35.08.06,KUNIR,KAB. LUMAJANG
35.08.07,YOSOWILANGUN,KAB. LUMAJANG
35.08.08,ROWOKANGKUNG,KAB. LUMAJANG
35.08.09,TEKUNG,KAB. LUMAJANG
35.08.10,LUMAJANG,KAB. LUMAJANG
35.08.11,PASRUJAMBE,KAB. LUMAJANG
35.08.12,SENDURO,KAB. LUMAJANG
35.08.13,GUCIALIT,KAB. LUMAJANG
35.08.14,PADANG,KAB. LUMAJANG
35.08.15,SUKODONO,KAB. LUMAJANG
35.08.16,KEDUNGJAJANG,KAB. LUMAJANG
35.08.17,JATIROTO,KAB. LUMAJANG
35.08.18,RANDUAGUNG,KAB. LUMAJANG
35.08.19,KLAKAH,KAB. LUMAJANG
35.08.20,RANUYOSO,KAB. LUMAJANG
35.08.21,SUMBERSUKO,KAB. LUMAJANG
35.09.01,JOMBANG,KAB. JEMBER
35.09.02,KENCONG,KAB. JEMBER
35.09.03,SUMBERBARU,KAB. JEMBER
35.09.04,GUMUKMAS,KAB. JEMBER
35.09.05,UMBULSARI,KAB. JEMBER
35.09.06,TANGGUL,KAB. JEMBER
35.09.07,SEMBORO,KAB. JEMBER
35.09.08,PUGER,KAB. JEMBER
35.09.09,BANGSALSARI,KAB. JEMBER
35.09.10,BALUNG,KAB. JEMBER
35.09.11,WULUHAN,KAB. JEMBER
35.09.12,AMBULU,KAB. JEMBER
35.09.13,RAMBIPUJI,KAB. JEMBER
35.09.14,PANTI,KAB. JEMBER
35.09.15,SUKORAMBI,KAB. JEMBER
35.09.16,JENGGAWAH,KAB. JEMBER
35.09.17,AJUNG,KAB. JEMBER
35.09.18,TEMPUREJO,KAB. JEMBER
35.09.19,KALIWATES,KAB. JEMBER
35.09.20,PATRANG,KAB. JEMBER
35.09.21,SUMBERSARI,KAB. JEMBER
35.09.22,ARJASA,KAB. JEMBER
35.09.23,MUMBULSARI,KAB. JEMBER
35.09.24,PAKUSARI,KAB. JEMBER
35.09.25,JELBUK,KAB. JEMBER
35.09.26,MAYANG,KAB. JEMBER
35.09.27,KALISAT,KAB. JEMBER
35.09.28,LEDOKOMBO,KAB. JEMBER
35.09.29,SUKOWONO,KAB. JEMBER
35.09.30,SILO,KAB. JEMBER
35.09.31,SUMBERJAMBE,KAB. JEMBER
35.10.01,PESANGGARAN,KAB. BANYUWANGI
35.10.02,BANGOREJO,KAB. BANYUWANGI
35.10.03,PURWOHARJO,KAB. BANYUWANGI
35.10.04,TEGALDLIMO,KAB. BANYUWANGI
35.10.05,MUNCAR,KAB. BANYUWANGI
35.10.06,CLURING,KAB. BANYUWANGI
35.10.07,GAMBIRAN,KAB. BANYUWANGI
35.10.08,SRONO,KAB. BANYUWANGI
35.10.09,GENTENG,KAB. BANYUWANGI
35.10.10,GLENMORE,KAB. BANYUWANGI
35.10.11,KALIBARU,KAB. BANYUWANGI
35.10.12,SINGOJURUH,KAB. BANYUWANGI
35.10.13,ROGOJAMPI,KAB. BANYUWANGI
35.10.14,KABAT,KAB. BANYUWANGI
35.10.15,GLAGAH,KAB. BANYUWANGI
35.10.16,BANYUWANGI,KAB. BANYUWANGI
35.10.17,GIRI,KAB. BANYUWANGI
35.10.18,WONGSOREJO,KAB. BANYUWANGI
35.10.19,SONGGON,KAB. BANYUWANGI
35.10.20,SEMPU,KAB. BANYUWANGI
35.10.21,KALIPURO,KAB. BANYUWANGI
35.10.22,SILIRAGUNG,KAB. BANYUWANGI
35.10.23,TEGALSARI,KAB. BANYUWANGI
35.10.24,LICIN,KAB. BANYUWANGI
35.10.25,BLIMBINGSARI,KAB. BANYUWANGI
35.11.01,MAESAN,KAB. BONDOWOSO
35.11.02,TAMANAN,KAB. BONDOWOSO
35.11.03,TLOGOSARI,KAB. BONDOWOSO
35.11.04,SUKOSARI,KAB. BONDOWOSO
35.11.05,PUJER,KAB. BONDOWOSO
35.11.06,GRUJUGAN,KAB. BONDOWOSO
35.11.07,CURAHDAMI,KAB. BONDOWOSO
35.11.08,TENGGARANG,KAB. BONDOWOSO
35.11.09,WONOSARI,KAB. BONDOWOSO
35.11.10,TAPEN,KAB. BONDOWOSO
35.11.11,BONDOWOSO,KAB. BONDOWOSO
35.11.12,WRINGIN,KAB. BONDOWOSO
35.11.13,TEGALAMPEL,KAB. BONDOWOSO
35.11.14,KLABANG,KAB. BONDOWOSO
35.11.15,CERMEE,KAB. BONDOWOSO
35.11.16,PRAJEKAN,KAB. BONDOWOSO
35.11.17,PAKEM,KAB. BONDOWOSO
35.11.18,SUMBERWRINGIN,KAB. BONDOWOSO
35.11.19,SEMPOL,KAB. BONDOWOSO
35.11.20,BINAKAL,KAB. BONDOWOSO
35.11.21,TAMAN KROCOK,KAB. BONDOWOSO
35.11.22,BOTOLINGGO,KAB. BONDOWOSO
35.11.23,JAMBESARI DARUS SHOLAH,KAB. BONDOWOSO
35.12.01,JATIBANTENG,KAB. SITUBONDO
35.12.02,BESUKI,KAB. SITUBONDO
35.12.03,SUBOH,KAB. SITUBONDO
35.12.04,MLANDINGAN,KAB. SITUBONDO
35.12.05,KENDIT,KAB. SITUBONDO
35.12.06,PANARUKAN,KAB. SITUBONDO
35.12.07,SITUBONDO,KAB. SITUBONDO
35.12.08,PANJI,KAB. SITUBONDO
35.12.09,MANGARAN,KAB. SITUBONDO
35.12.10,KAPONGAN,KAB. SITUBONDO
35.12.11,ARJASA,KAB. SITUBONDO
35.12.12,JANGKAR,KAB. SITUBONDO
35.12.13,ASEMBAGUS,KAB. SITUBONDO
35.12.14,BANYUPUTIH,KAB. SITUBONDO
35.12.15,SUMBERMALANG,KAB. SITUBONDO
35.12.16,BANYUGLUGUR,KAB. SITUBONDO
35.12.17,BUNGATAN,KAB. SITUBONDO
35.13.01,SUKAPURA,KAB. PROBOLINGGO
35.13.02,SUMBER,KAB. PROBOLINGGO
35.13.03,KURIPAN,KAB. PROBOLINGGO
35.13.04,BANTARAN,KAB. PROBOLINGGO
35.13.05,LECES,KAB. PROBOLINGGO
35.13.06,BANYUANYAR,KAB. PROBOLINGGO
35.13.07,TIRIS,KAB. PROBOLINGGO
35.13.08,KRUCIL,KAB. PROBOLINGGO
35.13.09,GADING,KAB. PROBOLINGGO
35.13.10,PAKUNIRAN,KAB. PROBOLINGGO
35.13.11,KOTAANYAR,KAB. PROBOLINGGO
35.13.12,PAITON,KAB. PROBOLINGGO
35.13.13,BESUK,KAB. PROBOLINGGO
35.13.14,KRAKSAAN,KAB. PROBOLINGGO
35.13.15,KREJENGAN,KAB. PROBOLINGGO
35.13.16,PAJARAKAN,KAB. PROBOLINGGO
35.13.17,MARON,KAB. PROBOLINGGO
35.13.18,GENDING,KAB. PROBOLINGGO
35.13.19,DRINGU,KAB. PROBOLINGGO
35.13.20,TEGALSIWALAN,KAB. PROBOLINGGO
35.13.21,SUMBERASIH,KAB. PROBOLINGGO
35.13.22,WONOMERTO,KAB. PROBOLINGGO
35.13.23,TONGAS,KAB. PROBOLINGGO
35.13.24,LUMBANG,KAB. PROBOLINGGO
35.14.01,PURWODADI,KAB. PASURUAN
35.14.02,TUTUR,KAB. PASURUAN
35.14.03,PUSPO,KAB. PASURUAN
35.14.04,LUMBANG,KAB. PASURUAN
35.14.05,PASREPAN,KAB. PASURUAN
35.14.06,KEJAYAN,KAB. PASURUAN
35.14.07,WONOREJO,KAB. PASURUAN
35.14.08,PURWOSARI,KAB. PASURUAN
35.14.09,SUKOREJO,KAB. PASURUAN
35.14.10,PRIGEN,KAB. PASURUAN
35.14.11,PANDAAN,KAB. PASURUAN
35.14.12,GEMPOL,KAB. PASURUAN
35.14.13,BEJI,KAB. PASURUAN
35.14.14,BANGIL,KAB. PASURUAN
35.14.15,REMBANG,KAB. PASURUAN
35.14.16,KRATON,KAB. PASURUAN
35.14.17,POHJENTREK,KAB. PASURUAN
35.14.18,GONDANGWETAN,KAB. PASURUAN
35.14.19,WINONGAN,KAB. PASURUAN
35.14.20,GRATI,KAB. PASURUAN
35.14.21,NGULING,KAB. PASURUAN
35.14.22,LEKOK,KAB. PASURUAN
35.14.23,REJOSO,KAB. PASURUAN
35.14.24,TOSARI,KAB. PASURUAN
35.15.01,TARIK,KAB. SIDOARJO
35.15.02,PRAMBON,KAB. SIDOARJO
35.15.03,KREMBUNG,KAB. SIDOARJO
35.15.04,PORONG,KAB. SIDOARJO
35.15.05,JABON,KAB. SIDOARJO
35.15.06,TANGGULANGIN,KAB. SIDOARJO
35.15.07,CANDI,KAB. SIDOARJO
35.15.08,SIDOARJO,KAB. SIDOARJO
35.15.09,TULANGAN,KAB. SIDOARJO
35.15.10,WONOAYU,KAB. SIDOARJO
35.15.11,KRIAN,KAB. SIDOARJO
35.15.12,BALONGBENDO,KAB. SIDOARJO
35.15.13,TAMAN,KAB. SIDOARJO
35.15.14,SUKODONO,KAB. SIDOARJO
35.15.15,BUDURAN,KAB. SIDOARJO
35.15.16,GEDANGAN,KAB. SIDOARJO
35.15.17,SEDATI,KAB. SIDOARJO
35.15.18,WARU,KAB. SIDOARJO
35.16.01,JATIREJO,KAB. MOJOKERTO
35.16.02,GONDANG,KAB. MOJOKERTO
35.16.03,PACET,KAB. MOJOKERTO
35.16.04,TRAWAS,KAB. MOJOKERTO
35.16.05,NGORO,KAB. MOJOKERTO
35.16.06,PUNGGING,KAB. MOJOKERTO
35.16.07,KUTOREJO,KAB. MOJOKERTO
35.16.08,MOJOSARI,KAB. MOJOKERTO
35.16.09,DLANGGU,KAB. MOJOKERTO
35.16.10,BANGSAL,KAB. MOJOKERTO
35.16.11,PURI,KAB. MOJOKERTO
35.16.12,TROWULAN,KAB. MOJOKERTO
35.16.13,SOOKO,KAB. MOJOKERTO
35.16.14,GEDEG,KAB. MOJOKERTO
35.16.15,KEMLAGI,KAB. MOJOKERTO
35.16.16,JETIS,KAB. MOJOKERTO
35.16.17,DAWARBLANDONG,KAB. MOJOKERTO
35.16.18,MOJOANYAR,KAB. MOJOKERTO
35.17.01,PERAK,KAB. JOMBANG
35.17.02,GUDO,KAB. JOMBANG
35.17.03,NGORO,KAB. JOMBANG
35.17.04,BARENG,KAB. JOMBANG
35.17.05,WONOSALAM,KAB. JOMBANG
35.17.06,MOJOAGUNG,KAB. JOMBANG
35.17.07,MOJOWARNO,KAB. JOMBANG
35.17.08,DIWEK,KAB. JOMBANG
35.17.09,JOMBANG,KAB. JOMBANG
35.17.10,PETERONGAN,KAB. JOMBANG
35.17.11,SUMOBITO,KAB. JOMBANG
35.17.12,KESAMBEN,KAB. JOMBANG
35.17.13,TEMBELANG,KAB. JOMBANG
35.17.14,PLOSO,KAB. JOMBANG
35.17.15,PLANDAAN,KAB. JOMBANG
35.17.16,KABUH,KAB. JOMBANG
35.17.17,KUDU,KAB. JOMBANG
35.17.18,BANDARKEDUNGMULYO,KAB. JOMBANG
35.17.19,JOGOROTO,KAB. JOMBANG
35.17.20,MEGALUH,KAB. JOMBANG
35.17.21,NGUSIKAN,KAB. JOMBANG
35.18.01,SAWAHAN,KAB. NGANJUK
35.18.02,NGETOS,KAB. NGANJUK
35.18.03,BERBEK,KAB. NGANJUK
35.18.04,LOCERET,KAB. NGANJUK
35.18.05,PACE,KAB. NGANJUK
35.18.06,PRAMBON,KAB. NGANJUK
35.18.07,NGRONGGOT,KAB. NGANJUK
35.18.08,KERTOSONO,KAB. NGANJUK
35.18.09,PATIANROWO,KAB. NGANJUK
35.18.10,BARON,KAB. NGANJUK
35.18.11,TANJUNGANOM,KAB. NGANJUK
35.18.12,SUKOMORO,KAB. NGANJUK
35.18.13,NGANJUK,KAB. NGANJUK
35.18.14,BAGOR,KAB. NGANJUK
35.18.15,WILANGAN,KAB. NGANJUK
35.18.16,REJOSO,KAB. NGANJUK
35.18.17,GONDANG,KAB. NGANJUK
35.18.18,NGLUYU,KAB. NGANJUK
35.18.19,LENGKONG,KAB. NGANJUK
35.18.20,JATIKALEN,KAB. NGANJUK
35.19.01,KEBON SARI,KAB. MADIUN
35.19.02,DOLOPO,KAB. MADIUN
35.19.03,GEGER,KAB. MADIUN
35.19.04,DAGANGAN,KAB. MADIUN
35.19.05,KARE,KAB. MADIUN
35.19.06,GEMARANG,KAB. MADIUN
35.19.07,WUNGU,KAB. MADIUN
35.19.08,MADIUN,KAB. MADIUN
35.19.09,JIWAN,KAB. MADIUN
35.19.10,BALEREJO,KAB. MADIUN
35.19.11,MEJAYAN,KAB. MADIUN
35.19.12,SARADAN,KAB. MADIUN
35.19.13,PILANGKENCENG,KAB. MADIUN
35.19.14,SAWAHAN,KAB. MADIUN
35.19.15,WONOASRI,KAB. MADIUN
35.20.01,PONCOL,KAB. MAGETAN
35.20.02,PARANG,KAB. MAGETAN
35.20.03,LEMBEYAN,KAB. MAGETAN
35.20.04,TAKERAN,KAB. MAGETAN
35.20.05,KAWEDANAN,KAB. MAGETAN
35.20.06,MAGETAN,KAB. MAGETAN
35.20.07,PLAOSAN,KAB. MAGETAN
35.20.08,PANEKAN,KAB. MAGETAN
35.20.09,SUKOMORO,KAB. MAGETAN
35.20.10,BENDO,KAB. MAGETAN
35.20.11,MAOSPATI,KAB. MAGETAN
35.20.12,BARAT,KAB. MAGETAN
35.20.13,KARANGREJO,KAB. MAGETAN
35.20.14,KARAS,KAB. MAGETAN
35.20.15,KARTOHARJO,KAB. MAGETAN
35.20.16,NGARIBOYO,KAB. MAGETAN
35.20.17,NGUNTORONADI,KAB. MAGETAN
35.20.18,SIDOREJO,KAB. MAGETAN
35.21.01,SINE,KAB. NGAWI
35.21.02,NGRAMBE,KAB. NGAWI
35.21.03,JOGOROGO,KAB. NGAWI
35.21.04,KENDAL,KAB. NGAWI
35.21.05,GENENG,KAB. NGAWI
35.21.06,KWADUNGAN,KAB. NGAWI
35.21.07,KARANGJATI,KAB. NGAWI
35.21.08,PADAS,KAB. NGAWI
35.21.09,NGAWI,KAB. NGAWI
35.21.10,PARON,KAB. NGAWI
35.21.11,KEDUNGGALAR,KAB. NGAWI
35.21.12,WIDODAREN,KAB. NGAWI
35.21.13,MANTINGAN,KAB. NGAWI
35.21.14,PANGKUR,KAB. NGAWI
35.21.15,BRINGIN,KAB. NGAWI
35.21.16,PITU,KAB. NGAWI
35.21.17,KARANGANYAR,KAB. NGAWI
35.21.18,GERIH,KAB. NGAWI
35.21.19,KASREMAN,KAB. NGAWI
35.22.01,NGRAHO,KAB. BOJONEGORO
35.22.02,TAMBAKREJO,KAB. BOJONEGORO
35.22.03,NGAMBON,KAB. BOJONEGORO
35.22.04,NGASEM,KAB. BOJONEGORO
35.22.05,BUBULAN,KAB. BOJONEGORO
35.22.06,DANDER,KAB. BOJONEGORO
35.22.07,SUGIHWARAS,KAB. BOJONEGORO
35.22.08,KEDUNGADEM,KAB. BOJONEGORO
35.22.09,KEPOHBARU,KAB. BOJONEGORO
35.22.10,BAURENO,KAB. BOJONEGORO
35.22.11,KANOR,KAB. BOJONEGORO
35.22.12,SUMBERREJO,KAB. BOJONEGORO
35.22.13,BALEN,KAB. BOJONEGORO
35.22.14,KAPAS,KAB. BOJONEGORO
35.22.15,BOJONEGORO,KAB. BOJONEGORO
35.22.16,KALITIDU,KAB. BOJONEGORO
35.22.17,MALO,KAB. BOJONEGORO
35.22.18,PURWOSARI,KAB. BOJONEGORO
35.22.19,PADANGAN,KAB. BOJONEGORO
35.22.20,KASIMAN,KAB. BOJONEGORO
35.22.21,TEMAYANG,KAB. BOJONEGORO
35.22.22,MARGOMULYO,KAB. BOJONEGORO
35.22.23,TRUCUK,KAB. BOJONEGORO
35.22.24,SUKOSEWU,KAB. BOJONEGORO
35.22.25,KEDEWAN,KAB. BOJONEGORO
35.22.26,GONDANG,KAB. BOJONEGORO
35.22.27,SEKAR,KAB. BOJONEGORO
35.22.28,GAYAM,KAB. BOJONEGORO
35.23.01,KENDURUAN,KAB. TUBAN
35.23.02,JATIROGO,KAB. TUBAN
35.23.03,BANGILAN,KAB. TUBAN
35.23.04,BANCAR,KAB. TUBAN
35.23.05,SENORI,KAB. TUBAN
35.23.06,TAMBAKBOYO,KAB. TUBAN
35.23.07,SINGGAHAN,KAB. TUBAN
35.23.08,KEREK,KAB. TUBAN
35.23.09,PARENGAN,KAB. TUBAN
35.23.10,MONTONG,KAB. TUBAN
35.23.11,SOKO,KAB. TUBAN
35.23.12,JENU,KAB. TUBAN
35.23.13,MERAKURAK,KAB. TUBAN
35.23.14,RENGEL,KAB. TUBAN
35.23.15,SEMANDING,KAB. TUBAN
35.23.16,TUBAN,KAB. TUBAN
35.23.17,PLUMPANG,KAB. TUBAN
35.23.18,PALANG,KAB. TUBAN
35.23.19,WIDANG,KAB. TUBAN
35.23.20,GRABAGAN,KAB. TUBAN
35.24.01,SUKORAME,KAB. LAMONGAN
35.24.02,BLULUK,KAB. LAMONGAN
35.24.03,MODO,KAB. LAMONGAN
35.24.04,NGIMBANG,KAB. LAMONGAN
35.24.05,BABAT,KAB. LAMONGAN
35.24.06,KEDUNGPRING,KAB. LAMONGAN
35.24.07,BRONDONG,KAB. LAMONGAN
35.24.08,LAREN,KAB. LAMONGAN
35.24.09,SEKARAN,KAB. LAMONGAN
35.24.10,MADURAN,KAB. LAMONGAN
35.24.11,SAMBENG,KAB. LAMONGAN
35.24.12,SUGIO,KAB. LAMONGAN
35.24.13,PUCUK,KAB. LAMONGAN
35.24.14,PACIRAN,KAB. LAMONGAN
35.24.15,SOLOKURO,KAB. LAMONGAN
35.24.16,MANTUP,KAB. LAMONGAN
35.24.17,SUKODADI,KAB. LAMONGAN
35.24.18,KARANGGENENG,KAB. LAMONGAN
35.24.19,KEMBANGBAHU,KAB. LAMONGAN
35.24.20,KALITENGAH,KAB. LAMONGAN
35.24.21,TURI,KAB. LAMONGAN
35.24.22,LAMONGAN,KAB. LAMONGAN
35.24.23,TIKUNG,KAB. LAMONGAN
35.24.24,KARANGBINANGUN,KAB. LAMONGAN
35.24.25,DEKET,KAB. LAMONGAN
35.24.26,GLAGAH,KAB. LAMONGAN
35.24.27,SARIREJO,KAB. LAMONGAN
35.25.01,DUKUN,KAB. GRESIK
35.25.02,BALONGPANGGANG,KAB. GRESIK
35.25.03,PANCENG,KAB. GRESIK
35.25.04,BENJENG,KAB. GRESIK
35.25.05,DUDUKSAMPEYAN,KAB. GRESIK
35.25.06,WRINGINANOM,KAB. GRESIK
